SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,757 North Point St #4,San Francisco,CA,94109,1198000,2,2.0,Russian Hill,1190,,1989,19,1007,700,Active,,,http://www.redfin.com/CA/San-Francisco/757-N-Point-St-94109/unit-4/home/1816724,San Francisco MLS,511091,N,Y,37.8055317,-122.4196058
MLS Listing,,Condo/Co-op,1083 Clay St #201,San Francisco,CA,94108,915000,1,1.0,Nob Hill,915,,1984,43,1000,774,Active,,,http://www.redfin.com/CA/San-Francisco/1083-Clay-St-94108/unit-201/home/866246,San Francisco MLS,510175,N,Y,37.7935318,-122.4108297
MLS Listing,,Condo/Co-op,490 Connecticut St #3,San Francisco,CA,94107,649000,1,1.0,Potrero Hill,,,1940,52,,225,Active,,,http://www.redfin.com/CA/San-Francisco/490-Connecticut-St-94107/unit-3/home/114074218,San Francisco MLS,509606,N,Y,37.760116,-122.3974807
MLS Listing,,Single Family Residential,4353 17th St,San Francisco,CA,94114,899000,1,1.0,Corona Heights,685,1123,1909,64,1312,,Active,,,http://www.redfin.com/CA/San-Francisco/4353-17th-St-94114/home/1299551,San Francisco MLS,509150,N,Y,37.7619358,-122.4417445
MLS Listing,,Condo/Co-op,260 King St #665,San Francisco,CA,94107,999000,2,2.0,Mission Bay,1083,,2004,72,922,899,Active,,,http://www.redfin.com/CA/San-Francisco/260-King-St-94107/unit-665/home/22889652,San Francisco MLS,508729,N,Y,37.7776422,-122.3934181
MLS Listing,,Condo/Co-op,1188 Valencia St #509,San Francisco,CA,94110,1449000,2,2.0,Inner Mission,,,2018,72,,533,Active,,,http://www.redfin.com/CA/San-Francisco/1188-Valencia-St-94110/unit-509/home/169571314,San Francisco MLS,508715,N,Y,37.75392,-122.4210164
MLS Listing,,Condo/Co-op,1370 Hayes St #1372,San Francisco,CA,94117,1498000,4,2.25,North Panhandle,1706,,1900,102,878,286,Active,,,http://www.redfin.com/CA/San-Francisco/1370-Hayes-St-94117/unit-1372/home/148065731,San Francisco MLS,506674,N,Y,37.7751235,-122.4390217
Redfin Data,,Condo/Co-op,1688 Pine St Unit E506,San Francisco,CA,94109,1298000,2,2.0,San Francisco,989,,2016,3,1312,758,Pre On-Market,,,http://www.redfin.com/CA/San-Francisco/1688-Pine-St-94109/unit-E506/home/112778979,Coming Soon,65735,N,Y,37.789553,-122.4232788
Redfin Data,,Condo/Co-op,451 Kansas St #371,San Francisco,CA,94107,899000,1,1.0,San Francisco,778,,2007,12,1156,556,Pre On-Market,,,http://www.redfin.com/CA/San-Francisco/451-Kansas-St-94107/unit-371/home/23424333,Coming Soon,65600,N,Y,37.764113,-122.4029865
MLS Listing,,Single Family Residential,312 Athens St,SAN FRANCISCO,CA,94112,1488000,3,2.5,SAN FRANCISCO,1240,2495,1910,1,1200,,Active,,,http://www.redfin.com/CA/San-Francisco/312-Athens-St-94112/home/775569,MLSListings,ML81824410,N,Y,37.7231025,-122.4276701
MLS Listing,,Condo/Co-op,601 Van Ness Ave #230,San Francisco,CA,94102,620000,1,1.0,Van Ness/Civic Center,677,,1982,1,916,909,Active,,,http://www.redfin.com/CA/San-Francisco/601-Van-Ness-Ave-94102/unit-230/home/578119,San Francisco MLS,511596,N,Y,37.7813857,-122.4214063
MLS Listing,,Multi-Family (2-4 Unit),1156-1158 Church St,San Francisco,CA,94114,2449000,5,2.0,Noe Valley,2414,1711,1908,1,1014,,Active,,,http://www.redfin.com/CA/San-Francisco/1156-Church-St-94114/home/1767365,San Francisco MLS,511252,N,Y,37.7522816,-122.4277621
MLS Listing,,Condo/Co-op,601 Van Ness Ave #832,San Francisco,CA,94102,679000,1,1.0,Van Ness/Civic Center,682,,1982,1,996,909,Active,,,http://www.redfin.com/CA/San-Francisco/601-Van-Ness-Ave-94102/unit-832/home/576201,San Francisco MLS,511348,N,Y,37.7813857,-122.4214063
MLS Listing,,Single Family Residential,20 Palo Alto Ave,San Francisco,CA,94114,5495000,5,5.5,Clarendon Heights,5043,4443,1991,1,1090,,Active,,,http://www.redfin.com/CA/San-Francisco/20-Palo-Alto-Ave-94114/home/26779942,San Francisco MLS,507244,N,Y,37.7570491,-122.4482009
MLS Listing,,Single Family Residential,1258 Shafter Ave,San Francisco,CA,94124,1275000,2,1.0,Bayview,995,2500,1944,1,1281,,Active,,,http://www.redfin.com/CA/San-Francisco/1258-Shafter-Ave-94124/home/1742879,San Francisco MLS,511572,N,Y,37.727584,-122.3842556
MLS Listing,,Single Family Residential,105 Trumbull St,San Francisco,CA,94112,899000,3,2.0,Excelsior,1365,3271,1905,1,659,,Active,,,http://www.redfin.com/CA/San-Francisco/105-Trumbull-St-94112/home/1167395,San Francisco MLS,511509,N,Y,37.7309772,-122.4281864
MLS Listing,,Single Family Residential,7 Hill Point Ave,San Francisco,CA,94117,2400000,4,4.0,Parnassus/Ashbury Heights,2092,3361,1917,1,1147,,Active,,,http://www.redfin.com/CA/San-Francisco/7-Hill-Point-Ave-94117/home/602373,San Francisco MLS,510612,N,Y,37.7646171,-122.4561125
MLS Listing,,Single Family Residential,444 Sawyer St,San Francisco,CA,94134,920000,3,2.0,Visitacion Valley,1302,2748,1944,2,707,,Active,,,http://www.redfin.com/CA/San-Francisco/444-Sawyer-St-94134/home/1929227,San Francisco MLS,511576,N,Y,37.7125638,-122.4149264
MLS Listing,,Condo/Co-op,718 Long Bridge St #1401,San Francisco,CA,94158,1795000,2,2.0,Mission Bay,1218,,2016,2,1474,1162,Active,,,http://www.redfin.com/CA/San-Francisco/718-Long-Bridge-St-94158/unit-1401/home/109464678,San Francisco MLS,499036,N,Y,37.7714717,-122.3945434
